Indicator,Category,Country,Notes,Source,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Unemployment Rate,Labor,South Africa,Percentage of labor force,ILO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1,28.7,29.2,34.3,32.9,32.6,32.1,,
Unemployment Rate,Labor,Egypt,Percentage of labor force,ILO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,8.6,9.2,7.4,7.2,7.1,6.7,,
FDI Inflows,Investment,Nigeria,Net inflows in USD billions,UNCTAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.3,0.7,4.8,4.7,3.9,4.2,,
FDI Inflows,Investment,Kenya,Net inflows in USD billions,UNCTAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.3,0.5,0.9,0.7,1,1.2,,
FDI Inflows,Investment,South Africa,Net inflows in USD billions,UNCTAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,4.6,3.1,40.9,8.9,9,6.4,,
FDI Inflows,Investment,Egypt,Net inflows in USD billions,UNCTAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,9,5.9,5.1,11.4,10,9.8,,
Mobile Penetration,Technology,Nigeria,Subscriptions per 100 people,ITU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,87.2,91.5,96.3,104.5,109.2,115.8,,
Mobile Penetration,Technology,Kenya,Subscriptions per 100 people,ITU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,98.4,102.3,110.5,119.2,126.4,132.7,,
Mobile Penetration,Technology,South Africa,Subscriptions per 100 people,ITU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.5,164.2,166.3,168.9,171.4,173.8,175.6,,
Mobile Penetration,Technology,Egypt,Subscriptions per 100 people,ITU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,94.6,95.3,99.7,102.8,106.3,109.1,,
Internet Users,Technology,Nigeria,Percentage of population,ITU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,28.9,35,41,45.2,51.3,55.4,,
Internet Users,Technology,Kenya,Percentage of population,ITU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,22.5,26.6,29,32.8,36.5,41.2,,
Internet Users,Technology,South Africa,Percentage of population,ITU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,56.2,68.2,70,71.8,73.1,74.8,,
Internet Users,Technology,Egypt,Percentage of population,ITU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5,54.2,57.3,62,71.9,75,78.5,,
Life Expectancy,Health,Nigeria,Years at birth,WHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3,54.5,54.7,53.4,53.8,54.2,54.7,,
Life Expectancy,Health,Kenya,Years at birth,WHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.3,66.5,66.7,65.5,66,66.4,66.9,,
Life Expectancy,Health,South Africa,Years at birth,WHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.9,64.1,64.3,62.3,62.5,62.8,63.2,,
Life Expectancy,Health,Egypt,Years at birth,WHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.7,71.8,71.9,70.2,70.5,70.9,71.3,,
Literacy Rate,Education,Nigeria,Percentage age 15+,UNESCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,62.5,63,63.5,64,64.5,65,,
Literacy Rate,Education,Kenya,Percentage age 15+,UNESCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.5,82,82.6,83.1,83.7,84.3,84.9,,
Literacy Rate,Education,South Africa,Percentage age 15+,UNESCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,87.3,87.7,88,88.4,88.8,89.2,,
Literacy Rate,Education,Egypt,Percentage age 15+,UNESCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.2,71.8,72.5,73.2,73.9,74.6,75.3,,
CO2 Emissions,Environment,Nigeria,Metric tons per capita,World Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,0.6,0.7,0.7,,
CO2 Emissions,Environment,Kenya,Metric tons per capita,World Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,
CO2 Emissions,Environment,South Africa,Metric tons per capita,World Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,7.3,6.8,7,7.1,7.2,7,,
CO2 Emissions,Environment,Egypt,Metric tons per capita,World Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.3,2.2,2.3,2.4,2.5,2.5,,
